Word/Phrase,Meaning,Usage in Sentence
Hukukun üstünlüğü,Popular sovereignty,Bir toplumun Hukukun üstünlüğü ilkelerine bağlı olması önemlidir.
İnsan hakları,Opposition,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Economic policy,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Executive,"Özgürlük, günümüz siyasetinde bir dönüm noktasıdır."
Siyaset,Party discipline,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Corruption,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Parliament,"Uluslararası ilişkiler, demokrasinin işleyişinde kritik bir rol oynar."
Meclis,Political crisis,"Meclis, günümüz siyasetinde bir dönüm noktasıdır."
Reform,Economic policy,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,Economic policy,Bir toplumun Muhalefet ilkelerine bağlı olması önemlidir.
İktidar,Popular sovereignty,İktidar konusunda yapılan reformlar geniş yankı uyandırdı.
Seçim,Parliamentary system,"Seçim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Koalisyon,Coalition,"Koalisyon perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Halk egemenliği,Election,Halk egemenliği üzerine yoğun tartışmalar yaşanmaktadır.
Yasama,Popular sovereignty,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,Bureaucracy,Yürütme kavramı modern siyaset biliminin temelini oluşturur.
Yargı,Judiciary,Yargı kavramı modern siyaset biliminin temelini oluşturur.
Propaganda,Parliament,Propaganda üzerine yoğun tartışmalar yaşanmaktadır.
Bürokrasi,Constitution,Bürokrasi kavramı modern siyaset biliminin temelini oluşturur.
Ekonomi politikası,Diplomacy,Ekonomi politikası kavramı modern siyaset biliminin temelini oluşturur.
Yerel yönetim,State policy,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Bureaucracy,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Political crisis,"Anayasa değişikliği, demokrasinin işleyişinde kritik bir rol oynar."
Parlamento sistemi,International relations,"Parlamento sistemi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyasi kriz,Bureaucracy,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,Politics,Bir toplumun Parti disiplini ilkelerine bağlı olması önemlidir.
Ulusal çıkarlar,Constitution,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Kamuoyu,Election,"Kamuoyu, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Devlet politikası,Public opinion,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Representative democracy,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Reform,Yolsuzluk kavramı modern siyaset biliminin temelini oluşturur.
Çoğulculuk,Economic policy,"Çoğulculuk, demokrasinin işleyişinde kritik bir rol oynar."
Temsili demokrasi,Ruling party,Temsili demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Egemenlik,Public opinion,Egemenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Bağımsızlık,Parliament,Bağımsızlık konusunda yapılan reformlar geniş yankı uyandırdı.
Demokrasi,Corruption,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Reform,"Hukukun üstünlüğü, demokrasinin işleyişinde kritik bir rol oynar."
İnsan hakları,Reform,İnsan hakları üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa,Parliamentary system,Bir toplumun Anayasa ilkelerine bağlı olması önemlidir.
Özgürlük,Diplomacy,Bir toplumun Özgürlük ilkelerine bağlı olması önemlidir.
Siyaset,Civil society,Siyaset kavramı modern siyaset biliminin temelini oluşturur.
Diplomasi,Ruling party,"Diplomasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Uluslararası ilişkiler,National interests,Uluslararası ilişkiler konusunda yapılan reformlar geniş yankı uyandırdı.
Meclis,Opposition,"Meclis, günümüz siyasetinde bir dönüm noktasıdır."
Reform,Representative democracy,Reform konusunda yapılan reformlar geniş yankı uyandırdı.
Muhalefet,Public opinion,"Muhalefet, günümüz siyasetinde bir dönüm noktasıdır."
İktidar,State policy,"İktidar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Seçim,Ruling party,"Seçim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Koalisyon,Independence,"Koalisyon, demokrasinin işleyişinde kritik bir rol oynar."
Halk egemenliği,Judiciary,Halk egemenliği kavramı modern siyaset biliminin temelini oluşturur.
Yasama,Corruption,"Yasama, demokrasinin işleyişinde kritik bir rol oynar."
Yürütme,State policy,Yürütme üzerine yoğun tartışmalar yaşanmaktadır.
Yargı,Election,"Yargı perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Propaganda,Judiciary,Propaganda konusunda yapılan reformlar geniş yankı uyandırdı.
Bürokrasi,Public opinion,"Bürokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Ekonomi politikası,Legislation,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,Party discipline,"Yerel yönetim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal güvenlik,Propaganda,Bir toplumun Ulusal güvenlik ilkelerine bağlı olması önemlidir.
Anayasa değişikliği,Independence,Bir toplumun Anayasa değişikliği ilkelerine bağlı olması önemlidir.
Parlamento sistemi,Politics,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,Propaganda,"Siyasi kriz, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parti disiplini,Diplomacy,"Parti disiplini, demokrasinin işleyişinde kritik bir rol oynar."
Ulusal çıkarlar,Rule of law,"Ulusal çıkarlar, günümüz siyasetinde bir dönüm noktasıdır."
Kamuoyu,Human rights,Kamuoyu kavramı modern siyaset biliminin temelini oluşturur.
Devlet politikası,Judiciary,"Devlet politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Sivil toplum,Reform,Bir toplumun Sivil toplum ilkelerine bağlı olması önemlidir.
Yolsuzluk,Political crisis,"Yolsuzluk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Çoğulculuk,Opposition,Çoğulculuk üzerine yoğun tartışmalar yaşanmaktadır.
Temsili demokrasi,Legislation,Temsili demokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Egemenlik,Local government,"Egemenlik, günümüz siyasetinde bir dönüm noktasıdır."
Bağımsızlık,Local government,"Bağımsızlık, demokrasinin işleyişinde kritik bir rol oynar."
Demokrasi,Bureaucracy,"Demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Hukukun üstünlüğü,National interests,Hukukun üstünlüğü konusunda yapılan reformlar geniş yankı uyandırdı.
İnsan hakları,Representative democracy,"İnsan hakları perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa,Reform,Bir toplumun Anayasa ilkelerine bağlı olması önemlidir.
Özgürlük,Constitutional amendment,Özgürlük konusunda yapılan reformlar geniş yankı uyandırdı.
Siyaset,State policy,"Siyaset perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Diplomasi,Politics,Diplomasi üzerine yoğun tartışmalar yaşanmaktadır.
Uluslararası ilişkiler,State policy,"Uluslararası ilişkiler, demokrasinin işleyişinde kritik bir rol oynar."
Meclis,Representative democracy,"Meclis perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Reform,Executive,"Reform, günümüz siyasetinde bir dönüm noktasıdır."
Muhalefet,National security,Muhalefet konusunda yapılan reformlar geniş yankı uyandırdı.
İktidar,Public opinion,"İktidar, demokrasinin işleyişinde kritik bir rol oynar."
Seçim,Constitutional amendment,"Seçim, günümüz siyasetinde bir dönüm noktasıdır."
Koalisyon,Election,"Koalisyon perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Halk egemenliği,Civil society,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Rule of law,"Yasama, demokrasinin işleyişinde kritik bir rol oynar."
Yürütme,Corruption,Yürütme kavramı modern siyaset biliminin temelini oluşturur.
Yargı,Bureaucracy,Yargı kavramı modern siyaset biliminin temelini oluşturur.
Propaganda,Executive,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,Popular sovereignty,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,International relations,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,Judiciary,"Yerel yönetim, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal güvenlik,Coalition,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Executive,Anayasa değişikliği kavramı modern siyaset biliminin temelini oluşturur.
Parlamento sistemi,Freedom,"Parlamento sistemi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyasi kriz,Pluralism,Siyasi kriz konusunda yapılan reformlar geniş yankı uyandırdı.
Parti disiplini,Democracy,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Opposition,"Ulusal çıkarlar, demokrasinin işleyişinde kritik bir rol oynar."
Kamuoyu,Politics,Kamuoyu kavramı modern siyaset biliminin temelini oluşturur.
Devlet politikası,Constitutional amendment,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Pluralism,Sivil toplum konusunda yapılan reformlar geniş yankı uyandırdı.
Yolsuzluk,Corruption,Yolsuzluk üzerine yoğun tartışmalar yaşanmaktadır.
Çoğulculuk,Democracy,"Çoğulculuk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Temsili demokrasi,Party discipline,Temsili demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Egemenlik,Independence,Egemenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Bağımsızlık,Sovereignty,"Bağımsızlık perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Demokrasi,Ruling party,"Demokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Hukukun üstünlüğü,Sovereignty,"Hukukun üstünlüğü perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İnsan hakları,Diplomacy,İnsan hakları kavramı modern siyaset biliminin temelini oluşturur.
Anayasa,Constitution,Anayasa konusunda yapılan reformlar geniş yankı uyandırdı.
Özgürlük,Election,"Özgürlük, demokrasinin işleyişinde kritik bir rol oynar."
Siyaset,Pluralism,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Opposition,Bir toplumun Diplomasi ilkelerine bağlı olması önemlidir.
Uluslararası ilişkiler,Opposition,"Uluslararası ilişkiler, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Meclis,Corruption,"Meclis, demokrasinin işleyişinde kritik bir rol oynar."
Reform,Coalition,"Reform, günümüz siyasetinde bir dönüm noktasıdır."
Muhalefet,International relations,Muhalefet konusunda yapılan reformlar geniş yankı uyandırdı.
İktidar,Party discipline,İktidar kavramı modern siyaset biliminin temelini oluşturur.
Seçim,Legislation,"Seçim, demokrasinin işleyişinde kritik bir rol oynar."
Koalisyon,Human rights,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Parliamentary system,Halk egemenliği konusunda yapılan reformlar geniş yankı uyandırdı.
Yasama,Parliamentary system,"Yasama, günümüz siyasetinde bir dönüm noktasıdır."
Yürütme,Diplomacy,"Yürütme, demokrasinin işleyişinde kritik bir rol oynar."
Yargı,International relations,Yargı üzerine yoğun tartışmalar yaşanmaktadır.
Propaganda,Sovereignty,"Propaganda, demokrasinin işleyişinde kritik bir rol oynar."
Bürokrasi,Pluralism,"Bürokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Ekonomi politikası,Politics,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,Rule of law,Yerel yönetim konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal güvenlik,Economic policy,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,Democracy,"Anayasa değişikliği, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parlamento sistemi,Public opinion,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,Parliamentary system,Siyasi kriz üzerine yoğun tartışmalar yaşanmaktadır.
Parti disiplini,Public opinion,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,International relations,Ulusal çıkarlar konusunda yapılan reformlar geniş yankı uyandırdı.
Kamuoyu,Constitution,"Kamuoyu, demokrasinin işleyişinde kritik bir rol oynar."
Devlet politikası,Constitutional amendment,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Popular sovereignty,"Sivil toplum, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yolsuzluk,Representative democracy,Yolsuzluk konusunda yapılan reformlar geniş yankı uyandırdı.
Çoğulculuk,Politics,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Pluralism,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Executive,Egemenlik kavramı modern siyaset biliminin temelini oluşturur.
Bağımsızlık,Civil society,"Bağımsızlık perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Demokrasi,State policy,Bir toplumun Demokrasi ilkelerine bağlı olması önemlidir.
Hukukun üstünlüğü,Freedom,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Rule of law,"İnsan hakları, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa,Civil society,Bir toplumun Anayasa ilkelerine bağlı olması önemlidir.
Özgürlük,Reform,Özgürlük konusunda yapılan reformlar geniş yankı uyandırdı.
Siyaset,Local government,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Local government,"Diplomasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Uluslararası ilişkiler,Politics,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,National security,"Meclis, günümüz siyasetinde bir dönüm noktasıdır."
Reform,Constitutional amendment,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,Political crisis,Bir toplumun Muhalefet ilkelerine bağlı olması önemlidir.
İktidar,Coalition,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Sovereignty,"Seçim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Koalisyon,Popular sovereignty,Bir toplumun Koalisyon ilkelerine bağlı olması önemlidir.
Halk egemenliği,Reform,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Political crisis,"Yasama, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yürütme,Diplomacy,Bir toplumun Yürütme ilkelerine bağlı olması önemlidir.
Yargı,Corruption,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Propaganda,Diplomacy,Propaganda kavramı modern siyaset biliminin temelini oluşturur.
Bürokrasi,Constitutional amendment,"Bürokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Ekonomi politikası,Election,"Ekonomi politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yerel yönetim,Legislation,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Pluralism,"Ulusal güvenlik, demokrasinin işleyişinde kritik bir rol oynar."
Anayasa değişikliği,Public opinion,"Anayasa değişikliği, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parlamento sistemi,National interests,Parlamento sistemi kavramı modern siyaset biliminin temelini oluşturur.
Siyasi kriz,Party discipline,"Siyasi kriz perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parti disiplini,Executive,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,Ruling party,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
